rank,greek,meaning,hint
1,καί,そして、〜も,
2,ὁ,その、〜する者,
3,εἰμί,〜である、いる,ἦν（〜であった）
4,αὐτός,彼、彼自身、同じ,auto-（自己・自動）
5,λέγω,言う,εἶπον / εἰπών
6,οὐ,〜ない,
7,ἐν,〜の中に、〜によって,en-（中に）
8,ἐγώ,私,ego（自我）
9,οὗτος,これ、この人,
10,ὅτι,〜ということ、なぜなら,
11,δέ,そして、しかし,
12,εἰς,〜へ、〜の中へ,
13,σύ,あなた,
14,γάρ,なぜなら,
15,ἐκ,〜から、外へ,ex- / exit（外へ）
16,θεός,神,theology（神学）
17,ἵνα,〜するために、〜するように,
18,ἔχω,持つ,ἔσχον
19,πατήρ,父,paternal（父の）
20,γίνομαι,なる、生じる,ἐγενόμην / γενόμενος
21,τίς,誰、何,
22,ἔρχομαι,来る、行く,ἦλθον / ἐλθών；ἐξέρχομαι・προσέρχομαι・παρέρχομαι
23,πιστεύω,信じる,πίστις（信仰）
24,πᾶς,すべての,pan-（全〜）
25,ἀλλά,しかし、むしろ,
26,οὖν,そこで、それゆえ,
27,Ἰησοῦς,イエス,Jesus
28,ὡς,〜のように、〜として,
29,Ἰουδαῖος,ユダヤ人,Judaea / Jew
30,μαθητής,弟子,math-（学ぶ）
31,ποιέω,する、作る,poem / poetry（作られたもの）
32,ἀποκρίνομαι,答える,ἀπεκρίθην / ἀποκριθείς
33,ἄνθρωπος,人、人間,anthropology（人類学）
34,ἐκεῖνος,あの人、あれ,
35,υἱός,息子、子,
36,κόσμος,世界,cosmos（宇宙）
37,κύριος,主、主人,
38,λαμβάνω,取る、受ける,ἔλαβον / λαβών；παραλαμβάνω
39,ζωή,命,zoo / zoology（生き物）
40,μή,〜ない、〜するな,
41,ἀκούω,聞く,acoustic（音響の）
42,ἐάν,もし〜なら,
43,ἔργον,働き、業,erg / energy（仕事・エネルギー）
44,ὁράω,見る,εἶδον / ἰδών
45,μένω,とどまる、住む,
46,λόγος,言葉、話、ロゴス,logic（論理）
47,γινώσκω,知る、理解する,ἔγνων；ἐπιγινώσκω
48,ἀγαπάω,愛する,agape（アガペー）
49,ἡμέρα,日,
50,ἀλήθεια,真理、真実,ἀληθής / ἀληθινός
51,φῶς,光,photo-（光・写真）
52,δίδωμι,与える,ἔδωκα / δούς；παραδίδωμι
53,πέμπω,遣わす、送る,
54,μαρτυρέω,証しする,martyr（証人・殉教者）
55,μαρτυρία,証し、証言,μαρτυρέω
56,ὄνομα,名前,onomatopoeia（擬音語）
57,θάνατος,死,thanatology（死生学）
58,ἀποστέλλω,遣わす,apostle（使徒）
59,σημεῖον,しるし、奇跡,semiotics（記号論）
60,ἐγείρω,起こす、よみがえらせる,
61,νεκρός,死んだ、死者,necro- / necrosis（壊死）
62,ἴδιος,自分自身の、固有の,idio-（固有の）
63,ὥρα,時、時刻,hour
64,πνεῦμα,霊、風、息,pneumatic（空気の）
65,σάρξ,肉,sarcoma（肉腫）
66,ἄρτος,パン、食物,
67,οὐρανός,天、空,Uranus（天王星）
68,γῆ,地、土地,geography / geology
69,ὕδωρ,水,hydro-（水）
70,ἀληθής,真実な、真の,ἀλήθεια
71,ἀληθινός,真実の、まことの,ἀλήθεια
72,τηρέω,守る、保つ,
73,κρίσις,裁き、審判,crisis（危機・決定局面）
74,κρίνω,裁く、判断する,κρίσις
75,ἀπόλλυμι,滅ぼす、失う,
76,σῴζω,救う,σωτήρ（救い主）
77,δόξα,栄光、名誉,doxology（頌栄）
78,δοξάζω,栄光を現す、たたえる,δόξα
79,ζητέω,求める、探す,
80,εὑρίσκω,見つける,εὗρον / εὑρών
81,περιπατέω,歩く、歩んで生活する,περί + πατέω
82,θεωρέω,見る、観察する,theory（理論・観察）
83,βλέπω,見る,
84,φέρω,運ぶ、もたらす,ἤνεγκα
85,βάλλω,投げる、置く,ἔβαλον / βαλών
86,ἄγω,導く、連れて行く,顎で導く；ἤγαγον
87,ἀναβαίνω,上る,ἀνά + βαίνω；ἀνέβην
88,καταβαίνω,下る、降りる,κατά + βαίνω；κατέβην
89,ἀκολουθέω,従う、ついて行く,ἀκολουθήσας
90,λαλέω,話す、語る,
91,ἐρωτάω,尋ねる、願う,
92,ἀφίημι,放す、赦す、残す,ἀφῆκα
93,δύναμαι,できる、力がある,dynamo / δύναμις
94,θέλω,欲する、望む,
95,οἶδα,知っている,
96,γεννάω,生む、生まれさせる,gene / genealogy
97,ἀποθνῄσκω,死ぬ,ἀπέθανον / ἀποθανών
98,ἀνάστασις,復活、立ち上がること,ἀνά + στάσις
99,ἀμήν,アーメン、まことに,日本語定着
100,ἀρχή,初め、起源、支配,arch- / archaeology
101,μονογενής,唯一の、ひとり子の,μόνος + γένος
102,χάρις,恵み、好意,charisma（カリスマ）
103,νόμος,律法、法,-nomy（法則・体系）
104,Μωϋσῆς,モーセ,Moses
105,προφήτης,預言者,prophet
106,βασιλεύς,王,
107,βασιλεία,王国、支配,βασιλεύς
108,δοῦλος,奴隷、僕,
109,φίλος,友、愛する者,philo-（愛する）
110,ἐλεύθερος,自由な,
111,ἐλευθερόω,自由にする,ἐλεύθερος
112,ἁμαρτία,罪,ἁμαρτάνω
113,ἁμαρτάνω,罪を犯す,ἥμαρτον
114,διάβολος,悪魔、中傷する者,devil
115,μισέω,憎む,
116,ἀγάπη,愛,agape（アガペー）
117,ἐντολή,命令、戒め,ἐντέλλομαι
118,παράκλητος,弁護者、助け主,παρά + καλέω
119,εἰρήνη,平和、平安,Irene（イレーネ）
120,χαίρω,喜ぶ,
121,λύπη,悲しみ、苦痛,
122,καρδία,心,cardiac（心臓の）
123,ψυχή,魂、命,psychology（心理学）
124,πρόβατον,羊,
125,ποιμήν,羊飼い,
126,θύρα,戸、門,
127,ἄμπελος,ぶどうの木,
128,κλῆμα,枝,
129,καρπός,実、果実,
130,θερίζω,刈り取る、収穫する,
